plant,case_id,ablation,n_edges,n_within,n_cross,prevalence,median_within,q25_within,q75_within,median_cross,q25_cross,q75_cross,auroc,auprc,auprc_lift_over_prevalence,cliffs_delta,auroc_ci95_lo,auroc_ci95_hi
HongZhang,HZ-p2-1,R4_c_mv,1190041,1190007,34,1.0,0.6692923307418823,0.47755569219589233,0.8258352875709534,0.8179142475128174,0.7484798431396484,0.8630201816558838,0.3431799511411673,0.9999600521039143,0.9999886222230576,-0.27552941176470586,0.25109254980161017,0.43301838678012716
HongZhang,HZ-p2-1,R5_surface,1190041,1190007,34,1.0,0.7177453551239258,0.4549286309062697,0.8881248213606674,0.7443241375644087,0.5441292047749218,0.8586860635741201,0.4786741738889425,0.9999726157148129,1.0000011861929146,-0.22666176470588234,0.402503116763673,0.5605402518887802
HongZhang,HZ-p2-1,R6_mv_and_surface,1190041,1190007,34,1.0,0.5196623206138611,0.3298175031989269,0.7160143225757782,0.5701657106660573,0.44655042151415814,0.7708239410963612,0.41058039500410254,0.9999673803275743,0.9999959506560943,-0.2843823529411765,0.3303593119620305,0.491123589658568
HongZhang,HZ-p2-94,R0_dist,987592,987495,97,0.9999,-0.02972254995008241,-0.04423823371734926,-0.018653474399592498,-0.12277061176987523,-0.13463972250453646,-0.1043501722889436,0.993393666145667,0.9999993439480702,1.0000975722290872,0.9811288659793814,0.9912814523972795,0.9951129294508237
HongZhang,HZ-p2-94,R1_c_vis,987592,987495,97,0.9999,0.6691729426383972,0.5303030014038086,0.7586206793785095,0.7412935495376587,0.7021276354789734,0.7897436022758484,0.31030588018636973,0.9998712452013682,0.9999694608994574,-0.41286855670103095,0.278380614663689,0.34578483080405
HongZhang,HZ-p2-94,R2_c_app,987592,987495,97,0.9999,0.9982506632804871,0.0,0.9997482299804688,0.9996017217636108,0.9991627931594849,0.9998031854629517,0.36846602851127574,0.9998791151678663,0.9999773316390093,-0.32023195876288657,0.3229650155347257,0.4158820781971335
HongZhang,HZ-p2-94,R3_c_occ,987592,987495,97,0.9999,0.8047618865966797,0.7216981053352356,0.8714285492897034,0.7699530720710754,0.737089216709137,0.8151658773422241,0.6081149047185571,0.9999480657174814,1.0000462889615227,-0.13057731958762886,0.5785385546516926,0.6399157808602763
HongZhang,HZ-p2-94,R4_c_mv,987592,987495,97,0.9999,0.7314080595970154,0.5121212005615234,0.8413415551185608,0.8261012434959412,0.7837168574333191,0.8600952625274658,0.3638169067070312,0.9998842063401596,0.9999824233114,-0.32357731958762886,0.32232879634050604,0.41623337933643717
HongZhang,HZ-p2-94,R5_surface,987592,987495,97,0.9999,0.7321036742562875,0.4694760162623539,0.8954815246359948,0.4655497092969081,0.17352491465724695,0.7589371180193248,0.6826036180373718,0.9999505434294698,1.0000487669168927,0.2009123711340206,0.6309274861002819,0.7288409485878644
HongZhang,HZ-p2-94,R6_mv_and_surface,987592,987495,97,0.9999,0.5432600184452515,0.36716726553839046,0.7515295147895813,0.4655497092969081,0.17352491465724695,0.7026102542877197,0.5819174550955576,0.9999232348299952,1.0000214556349396,0.030603092783505155,0.5147506453510426,0.6411405770917905
